text,label
 pays  bill cause is thanked,1
 needs a change cause frowns,1
 becomes a professional gamer cause gets popular,1
 finds a stray dog cause gets bitten,1
 turns  towards  cause to towards the moving,1
 loves the song cause cries,1
 cleans the basement cause gets dirty,1
 gives  some water cause no effect,1
 rents and managing properties for a fee cause  gets job experience,1
 sends  instead cause  sends a card instead of a gift,1
 pays a visit cause grin,1
 notices a bad smell cause Opens door,1
 faces every  cause give a speech,1
 gets a band aid cause cringes,1
 mounts  response cause has their question answered,1
 surprises  with a trip cause gets a hug,1
 goes halfsies cause has to share item,1
 works all summer cause becomes productive,1
 shoots first and ask questions later cause harms someone,1
 goes  after school cause is nervous,1
 regulates  with nations cause gets income from business,1
 fights another day cause makes everyone fear him,1
 swings  hard cause clenches muscles in anger,1
 yells for help cause people come over,1
 swings hard cause gets hungry,1
 gets a standing ovation cause thinks about the show,1
 takes a hot bath cause Dries off,1
 cleans the yard cause gets paid,1
 gets near  cause  feels close to ,1
 teaches the class cause They clarify points in the lecture,1
 puts  in the car cause  provides safety to baby,1
 carries the  alone cause sadness,1
 works with kids cause Children play games and complete tasks,1
 is a little boy cause becomes man,1
 has lost weight cause feels good,1
 returns the dog cause smiles,1
 taps  cause jump in shock,1
 has a bowl of cereal cause tastes the cereal flavor,1
 lives far away cause takes roadtrips,1
 talks to a friend cause smiles and laughs,1
 makes it snappy cause angry to other,1
 sings  a song cause They finish the song,1
 protects the  from injury cause are safe again,1
 takes it to a mechanic cause pays the bill,1
 is playing in the yard cause brings in bugs,1
 feels queasy cause have to sit down,1
 maintains  level cause is respected,1
 knows  was ready cause  knows  well,1
 wants to fight  cause gets a black eye,1
 talks to oneself cause has something to listen to,1
 is getting scared cause heart beats faster,1
 moves across the country cause gets new job,1
 walks down the street cause gets fresh air,1
 licks  cause Person x finds out how person y reacts to being licked,1
 is incredibly nervous cause develops physical symptoms,1
 tastes disgusting cause X feels sick,1
 has never played before cause judges,1
 never played  cause is taught how to do something,1
 gets  from the fridge cause NONE,1
 is running for class president cause gets accepted to a prestigious university,1
 beats the cancer cause smiles,1
 dresses to go back out to eat cause smiles,1
 becomes  man cause gets pregnant,1
 laughs together cause rest,1
 potty train  cause builds relationship,1
 comes back home cause Sees familiar sights,1
 takes a class cause learns something new,1
