context,triplets
"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",<triplet> enforce <subj> stopping <obj> enable
"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.",<triplet> request <subj> removal <obj> enable
"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",<triplet> offering <subj> subscribe <obj> enable
DD Acquisition said the extension is to allow this process to be completed.,<triplet> extension <subj> completed <obj> enable
"The government of Prime Minister Brian Mulroney has been under pressure to reduce the deficit, which is expected to reach C$30 billion this year.",<triplet> pressure <subj> reduce <obj> enable
The proceeds of the offering will be used to reduce the company's debt and to fund its expansion plans.,<triplet> proceeds <subj> reduce <obj> enable
"The company has also announced that it will be launching a new loyalty program for its customers, which will offer rewards and discounts for frequent shoppers.",<triplet> loyalty <subj> rewards <obj> enable
The company has also announced that it will be investing in new technology to improve customer service and increase efficiency.,<triplet> technology <subj> improve <obj> enable
The company has also announced that it will be investing in new marketing initiatives to increase brand awareness and customer loyalty.,<triplet> marketing <subj> increase <obj> enable
The company has also announced that it will be investing in research and development to create new products and services.,<triplet> research <subj> create <obj> enable
The company has also announced that it will be investing in new training programs to ensure that its employees are up to date with the latest industry trends.,<triplet> training <subj> ensure <obj> enable
The U.S. Senate yesterday approved a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.,<triplet> approved <subj> moratorium <obj> enable
"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",<triplet> embargo <subj> stopping <obj> enable
The Canadian government has announced new regulations to ensure that foreign investors are subject to the same rules as domestic investors when it comes to investing in the country's stock markets.,<triplet> regulations <subj> ensure <obj> enable
The Canadian government has announced a new tax credit for small businesses to help them offset the costs of hiring new employees.,<triplet> tax <subj> offset <obj> enable
The Canadian government has announced a new program to help low-income families access affordable housing.,<triplet> program <subj> access <obj> enable
The Canadian government has announced a new initiative to help Indigenous communities access clean drinking water.,<triplet> initiative <subj> access <obj> enable
The Canadian government has announced a new plan to reduce greenhouse gas emissions and combat climate change.,<triplet> plan <subj> reduce <obj> enable
The Canadian government has announced a new policy to ensure that all Canadians have access to high-quality health care.,<triplet> policy <subj> access <obj> enable
The Canadian government has announced a new program to help young people gain access to post-secondary education.,<triplet> program <subj> access <obj> enable
The government has also announced plans to invest in renewable energy sources to reduce the country's reliance on fossil fuels.,<triplet> invest <subj> reduce <obj> enable
The government has also announced plans to invest in education and training programs to ensure that the country's workforce is equipped with the skills needed to compete in the global economy.,<triplet> invest <subj> compete <obj> enable
"The initiative will provide financial assistance to low-income families and individuals, as well as access to education and job training programs.",<triplet> initiative <subj> assistance <obj> enable
The government has also announced that it will be investing in infrastructure projects to improve transportation and communication networks.,<triplet> investing <subj> improve <obj> enable
The government has also announced that it will be investing in renewable energy sources to reduce the country's reliance on fossil fuels.,<triplet> investing <subj> reduce <obj> enable
The government has also announced that it will be investing in research and development to create new technologies and products.,<triplet> investing <subj> create <obj> enable
The government has also announced that it will be investing in new programs to promote economic growth and job creation.,<triplet> investing <subj> promote <obj> enable
The government has also announced plans to introduce a new tax on luxury goods to help fund public services.,<triplet> plans <subj> fund <obj> enable
"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",<triplet> embargo <subj> stopping <obj> enable
The company has also announced that it will be investing in new infrastructure projects to improve the quality of life in the local community.,<triplet> investing <subj> improve <obj> enable
The company has also announced that it will be investing in new environmental initiatives to reduce its carbon footprint.,<triplet> investing <subj> reduce <obj> enable
The company has also announced that it will be investing in new educational programs to help its employees develop their skills and knowledge.,<triplet> investing <subj> develop <obj> enable
The company has also announced that it will be investing in new social programs to support the local community.,<triplet> investing <subj> support <obj> enable
The government has also announced that it will be investing in new renewable energy sources to reduce its reliance on fossil fuels.,<triplet> investing <subj> reduce <obj> enable
The government has also announced that it will be investing in new public transportation systems to reduce traffic congestion.,<triplet> investing <subj> reduce <obj> enable
The government has also announced that it will be investing in new healthcare initiatives to improve access to quality healthcare.,<triplet> investing <subj> improve access <obj> enable
"The U.S. government yesterday announced that it will impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",<triplet> embargo <subj> stopping <obj> enable
"The European Union yesterday announced that it will impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",<triplet> embargo <subj> stopping <obj> enable
The European Union has passed a new law to reduce carbon emissions by 40% by,<triplet> law <subj> reduce <obj> enable
The government has also announced plans to invest in social welfare programs to ensure that all citizens have access to basic services and support.,<triplet> invest <subj> access <obj> enable
The government has also announced plans to invest in environmental protection initiatives to reduce pollution and protect natural resources.,<triplet> invest <subj> reduce pollution <obj> enable
The government has also announced plans to invest in public health initiatives to improve the health and wellbeing of citizens.,<triplet> invest <subj> improve the health <obj> enable
The government has also announced plans to invest in cultural and heritage projects to preserve the country's history and promote its cultural identity.,<triplet> invest <subj> preserve <obj> enable
The United Nations has declared a new resolution to end the conflict in the Middle East.,<triplet> resolution <subj> end <obj> enable
